Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],
ArkUpgrade/LucyDefultSkillUpgrade_Desc,Text,,"요정의 샘 이벤트의 조건을 만족할 경우, 요정의 샘 선택지에서 가속 업그레이드가 등장할 수 있습니다.","Si vous remplissez les conditions de la Fontaine des souhaits, une option permettant d’améliorer « Accélération » peut apparaître.",願いの泉イベントの条件を満たす場合、願いの泉の選択肢に「加速強化」が出現する可能性が発生する。,满足精灵之泉的条件时，精灵之泉的选项中有可能出现“加速”技能的升级。,滿足精靈之泉的條件時，精靈之泉的選項中有可能出現「加速」技能的升級。,
ArkUpgrade/LucyDefultSkillUpgrade_Name,Text,,가속 강화,Améliorer Accélération,加速強化,加速强化,加速強化,
ArkUpgrade/Neckless1_Desc,Text,,루시의 목걸이의 최대 충전수가 증가합니다.,Le collier de Lucy gagne une charge supplémentaire.,ルシーのネックレスの最大ストックが増える。,露西项链的最大充能数增加。,露西項鍊的最大充能數增加。,
ArkUpgrade/Neckless1_Name,Text,,목걸이 강화 I,Améliorer Collier I,ネックレス強化I,项链强化 I,項鍊強化 I,
ArkUpgrade/Neckless2_Desc,Text,,루시의 목걸이가 50%의 체력을 회복해줍니다.,Le collier de Lucy soigne 50 % des PV de la cible.,ルシーのネックレスが体力を50%回復する。,露西的项链可恢复50%的体力值。,露西的項鍊可恢復50%的體力值。,
ArkUpgrade/Neckless2_Name,Text,,목걸이 강화 II,Améliorer Collier II,ネックレス強化II,项链强化 II,項鍊強化 II,
ArkUpgrade/Neckless3_Desc,Text,,루시의 목걸이의 최대 충전수가 증가합니다.,Le collier de Lucy gagne une charge supplémentaire.,ルシーのネックレスの最大ストックが増える。,露西项链的最大充能数增加。,露西項鍊的最大充能數增加。,
ArkUpgrade/Neckless3_Name,Text,,목걸이 강화 III,Améliorer Collier III,ネックレス強化III,项链强化 III,項鍊強化 III,
ArkUpgrade/RecruitSlot_Desc,Text,,캠프파이어에서 파티원 영입시 선택할 수 있는 파티원이 4명으로 증가합니다.,Vous pouvez désormais choisir parmi 4 membres du groupe au camp.,キャンプファイヤーで選べるパーティーメンバーの選択肢が4人に増加する。,在营地招募队员时，可选择的队员人数增加至4人。,在營地招募隊員時，可選擇的隊員人數增加至4人。,
ArkUpgrade/RecruitSlot_Name,Text,,증원,Renforcement,増援,增援,增援,
