Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
Battle/Keyword/Autodelete,Text,,{0}턴 후 버려짐,Défaussée après {0} tour(s),{0}ターン後に捨てられる。,{0} 回合后弃牌,{0} 回合後棄牌
Battle/Keyword/Basic,Text,,기본기,Innée,基本,基本功,基本功
Battle/Keyword/Basic_Desc,Text,,고정 능력이면 다른 캐릭터의 고정 능력 시전과 관계없이 사용 할 수 있고 쿨타임이 1 감소합니다.,"Si cette compétence est définie comme Compétence Fixe, elle peut être utilisée même si un autre personnage a déjà lancé sa Compétence Fixe. 
Son temps de recharge est également réduit d'un tour.",固定能力に設定した場合、他の味方の固定能力の使用に関係せず使用できる。この固定能力は毎ターン使用できる。,若指定为固定能力，则无论其他角色是否使用固定能力，都可以使用，并且冷却时间减少 1 。,若指定為固定能力，則無論其他角色是否使用固定能力，都可以使用，且冷卻時間減少 1 。
Battle/Keyword/Casting,Text,,캐스팅,Concentration,キャスト,蓄力,蓄力
Battle/Keyword/Casting_Desc,Text,,다음 턴이 되기 직전에 시전됩니다,Les compétences concentrées sont lancées à la fin du tour.,ターン終了時に発動する。,在下一回合开始前释放。,在下一輪開始前釋放。
Battle/Keyword/Count,Text,,카운트,Compte à rebours,カウント,倒计时,行動計數
Battle/Keyword/Count_Desc,Text,,"스킬을 낸 뒤, x번 스킬을 사용하거나, 턴을 종료하면 시전합니다.
적의 행동 카운트와 동일하게 작동합니다.","Cette compétence est lancée lorsqu'un certain nombre de compétences ont été jouées ou lorsque vous terminez votre tour. 
Fonctionne comme le compteur d'action des ennemis.","このスキルを使用した後、スキルをx回使用するか、ターンを終了すると発動する。
 敵の行動カウントと同じように作動する。","技能出手后，第X次使用技能或回合结束时释放。
与敌人的行动倒计时同时运算。","技能出手後，於第X次使用技能或回合結束時釋放。
運作方式與敵人的行動計數相同。"
Battle/Keyword/CutScene,Text,,컷씬 애니메이션,Animation cinématique,カットシーン,过场动画,過場動畫
Battle/Keyword/Except,Text,,제외,Exclure,除外,放逐,放逐
Battle/Keyword/Except_Desc,Text,,교환 대신 버려집니다. 버리거나 시전하면 이번 전투에서 제외됩니다.,"Si cette compétence est utilisée, échangée ou défaussée, elle est retirée du deck pour ce combat.",交換できず捨てられる。捨てる、または使用すると今回の戦闘から除外され、捨てられたデッキに入らない。,换牌时变成弃牌。若弃牌或释放，将从本次战斗中移除。,換牌時變成棄牌。若棄牌或釋放，將從本次戰鬥中移除。
Battle/Keyword/Fatal,Text,,치명,Critique,致命的,致命,致命
Battle/Keyword/Fatal_Desc,Text,,대상에게 적중하는 치명타 확률이 2배가 됩니다.,Les chances de coup critique sont doublées.,このスキルにおいては、自分のクリティカル率とターゲットの被クリティカル率が2倍になる。,角色自身暴击率和目标被暴击率视为两倍。,角色本身暴擊率和目標被爆擊率視為兩倍。
Battle/Keyword/Fixed,Text,,부동,Liée,不動,锁定,鎖定
Battle/Keyword/Fixed_Desc,Text,,교환할 수 없습니다.,Ne peut pas être échangée.,交換できない。,无法换牌。,無法換牌。
Battle/Keyword/IgnoreTaunt,Text,,도발 무시,Ignore la Provocation,挑発無視,无视嘲讽,無視嘲諷
Battle/Keyword/IgnoreTaunt_Desc,Text,,도발과 관계없이 적을 지정할 수 있습니다.,"Peut cibler un ennemi, même s'il est sous l'effet de Provocation.",挑発効果を受けずにターゲットを指定できる。,可以无视嘲讽指定敌人。,可以無視嘲諷指定敵人。
Battle/Keyword/NoBasicSkill,Text,,고정 능력 지정 불가,Impossible en Compétence Fixe,固定能力指定不可,非固定能力,非固定能力
Battle/Keyword/NoBasicSkill_Desc,Text,,고정 능력으로 지정 할 수 없습니다.,Cette compétence ne peut pas être utilisée comme Compétence Fixe.,固定能力に指定できない。,无法指定为固定能力。,無法指定為固定能力。
Battle/Keyword/OneTime,Text,,일회성,Unique,単発,一次性,一次性
Battle/Keyword/OneTime_Desc,Text,,사용하면 이번 전투에서 제외됩니다.,"Une fois utilisée, cette compétence est retirée du deck pour ce combat.",使用すると今回の戦闘から除外され、捨てられたデッキに入らない。,使用后将从本次战斗中移除。,使用後將從本次戰鬥中移除。
Battle/Keyword/PlusSkillView,Text,,{0}를 누르면 자세한 내용을 확인 할 수 있습니다.,Vous pouvez afficher les détails en appuyant sur {0}.,{0}を押すとより詳しく内容を確認できます。,按下{0}可以查看详细内容。,按下{0}可以查看詳細內容。
Battle/Keyword/Quick,Text,,신속,Rapidité,迅速,迅速,迅速
Battle/Keyword/Quick_Desc,Text,,"과부하를 받지 않고, 적 행동카운트 무시",Ignore les compteurs d'action ennemis. Ne provoque pas de Surcharge.,オーバーチャージの影響を受けず、敵の行動カウントを減らさない。,不受过载限制，无视敌人行动倒计时,不受過載限制，無視敵人行動計數
Battle/Keyword/Quick_Desc_Casual,Text,,적 행동카운트 무시,Ignore les compteurs d'action ennemis,敵行動カウント無視。,无视敌人行动倒计时,無視敵人行動計數
Battle/Keyword/Track,Text,,추적,Traque,追跡,追踪,追蹤
Battle/Keyword/TrackEffect,Text,,빗맞음!,Raté !,はずれ！,未击中！,未擊中！
Battle/Keyword/Track_Desc,Text,,이 스킬을 회피해도 절반의 피해로 명중하지만 치명타를 발생시키지 않습니다.,"Si cette compétence est esquivée, elle inflige la moitié de ses dégâts et ne peut pas infliger de coup critique.",このスキルは回避されても半分のダメージを与えるが、その場合クリティカルは発生しない。,闪避该技能时仍然造成一半伤害，但不会触发暴击。,閃避該技能時仍造成一半傷害，但不會觸發暴擊。
Battle/Keyword/Waste,Text,,교환 불가,Impossible à échanger,交換不可,无法换牌。,無法換牌。
Battle/Keyword/Waste_Desc,Text,,교환 대신 버려집니다.,Défaussée au lieu d'être échangée.,交換できず、捨てられる。,换牌时变成弃牌。,換牌時變成棄牌。
Battle/SkillTooltip/Cri,Text,,치명타,Coup critique,クリティカル,暴击率,暴擊率
Battle/SkillTooltip/Damage,Text,,피해량,Dégâts,ダメージ,伤害,傷害
Battle/SkillTooltip/ForceHeal,Text,회복게이지 초과 회복기능. (아래의 회복량 표기를 대체함),<b>초과</b> 회복,<b>Sursoin</b>,<b>オーバー</b>ヒール,<b>超额</b>恢复,<b>超額</b>恢復
Battle/SkillTooltip/Heal,Text,,회복량,Soin,回復量,恢复量,恢復量
Battle/SkillTooltip/HealMaxHP,Text,,최대 체력의 {0}% 회복,Restaure {0}% des PV max.,最大体力の{0}%回復,恢复最大体力值的{0}%,恢復最大體力值的{0}%
Battle/SkillTooltip/Hit,Text,,명중률,Précision,命中率,命中率,命中率
Battle/Target/ALL,Text,,모든 대상,Toutes les cibles,全てのターゲット,所有目标,所有目標
Battle/Target/AllSkill,Text,,모든 스킬,Toutes les compétences,全てのスキル,所有技能,所有技能
Battle/Target/All_Ally,Text,,모든 아군,Tous les alliés,味方全員,所有友军,所有友軍
Battle/Target/All_Enemy,Text,,모든 적,Tous les ennemis,敵全体,所有敌人,所有敵人
Battle/Target/Ally,Text,,아군 대상,Allié,ターゲット味方,指向友军,指向友軍
Battle/Target/Enemy,Text,,적 대상,Ennemi,ターゲット敵,指向敌人,指向敵人
Battle/Target/OneTarget,Text,,단일 대상,Cible unique,単一ターゲット,单体目标,單體目標
Battle/Target/OtherAlly,Text,,다른 아군,Autre allié,他の味方,其他友军,其他友軍
Battle/Target/Random_Enemy,Text,,무작위 적,Ennemi aléatoire,ランダム敵,随机敌人,隨機敵人
Battle/Target/Self,Text,,자신,Soi-même,自身,自身,本身
Battle/Target/Skill,Text,,스킬 한 개,Compétence,スキル1個,单个技能,單一技能
Battle/TutorialBattleUIText/Help0,Text,,손패에 있는 스킬을 선택하여 사용하자,Sélectionnez une compétence dans votre main pour la lancer.,手札のスキルを選択して使用してみよう。,选择使用手中的技能。,選擇使用手中的技能。
Battle/TutorialBattleUIText/Help1,Text,,교환을 사용하여 필요없는 스킬을 버리고 덱에 있는 스킬을 뽑아보자,Utilisez Échanger pour défausser une compétence inutile et en piocher une nouvelle depuis le deck.,要らないスキルは交換してデッキのスキルを引いてみよう。,使用交换功能丢弃不需要的技能，并抽取牌库中的技能。,"使用交換功能丟棄不需要的技能，
並抽取牌庫中的技能。"
Battle/TutorialBattleUIText/Help2,Text,,캐릭터 초상화 오른쪽에 있는 고정 능력을 사용해보자,Utilisez la Compétence Fixe située à droite des portraits des personnages.,ポートレートの右側にある固定能力を使ってみよう。,试着使用角色头像右边的固定能力吧。,試著使用角色頭像右邊的固定能力吧。
Battle/TutorialBattleUIText/Help3,Text,,대기를 눌러 적을 먼저 행동하게 하자,Utilisez Attente pour laisser l'ennemi agir en premier.,待機して敵を先に行動させよう。,点击等待使敌人率先行动吧。,點擊等待使敵人率先行動。
CharText/ArmorBoss/Guard,Text,,방어함!,Protégé !,防御！,防御！,防禦！
CharText/Azar/Tutorial_NotDead,Text,,벌써 끝날수는 없어...!,Ce n'est déjà pas fini... !,まだ終われない…！,不可能这么快就结束……！,不可能這麼快就結束……！
CharText/BombClown/Bomb2,Text,,후후... 폭탄 2개를 저글링하는 기분은 어떨까요?,"Fufu... Alors, ça fait quoi de jongler avec deux bombes ?",フフフ…爆弾でジャグリングする気分はいかが？,哈哈……拿 2 个炸弹玩杂耍的感觉如何？,哈哈……拿 2 個炸彈玩雜耍的感覺如何？
CharText/BombClown/Bomb3,Text,,와우! 오늘의 하이라이트 시작입니다!,Waouh ! Le clou du spectacle commence !,さあ、ショーのハイライトです！,哇哦！今天的重头戏开场了！,哇哦！今天的重頭戲開場了！
CharText/BombClown/Start,Text,,이제부터 죽음의 폭탄 서커스가 시작됩니다!,Le Cirque des Bombes Mortelles ouvre enfin ses portes !,今から死の爆弾サーカスの始まりです！,死亡炸弹表演秀马上就要开场了！,死亡炸彈表演秀馬上就要開場了！
CharText/ENemy/Witch/Ally/Ilya_Low,Text,,"그래, 시체는 양지 바른 곳에 묻어 줘...",Enterrez mon corps dans un endroit baigné de soleil...,死体は日当たりのいい所に埋めてくれるかな…,好，请把我的尸体埋在向阳的地方……,好，請把我的屍體埋在向陽的地方……
CharText/ENemy/Witch/Ally/Momori,Text,,나한테 저주 걸면... 알지~?,"Si tu me maudis... tu sais ce qui t'attend, n'est-ce pas~ ?",モモリに呪いをかけたら··· 分かるよね~？,你要是给我下诅咒……哼哼~,你要是給我下詛咒……哼哼~
CharText/ENemy/Witch/Ally/Momori_Low,Text,,"잠깐! 모, 모모리가 죽어 버려도 좋은 거냐구!?",Attends ! Tu te moques complètement de la mort de M-Momori !?,ちょっ、待っ…！モモリが死んじゃってもいいワケ！？,等等，你不怕我死掉吗！？,等等，你不怕我死掉嗎！ ？
CharText/Enemy/Fanatic/Phase2,Text,,"검은 안개여, 다시 한번 나에게 힘을...!","Brume Noire, prête-moi encore une fois ta puissance... !",黒い霧よ…もう一度私に力を…！,黑色迷雾啊，请再一次赐予我力量吧……！,黑色迷霧啊，請再一次賜給我力量吧……！
CharText/Enemy/Golem_0,Text,,경고. 내 모듈에 손대지 말것.,Avertissement. Ne touchez pas à mon module.,ケイコク、モジュールニハテヲダサナイデクダサイ。,我警告你们，不要动我的模块。,我警告你們，不要動我的模組。
CharText/Enemy/Golem_1,Text,,분쇄 모듈 활성화. 분쇄한다.,Séquence de destruction activée. Extermination en cours.,フンサイモジュールカッセイカ、フンサイシマス。,粉碎模块激活，立即粉碎！,粉碎模組激活，立即粉碎！
CharText/Enemy/Golem_Start,Text,,침입자 감지. 보호 모드 가동.,Intrus détecté. Séquence de protection activée.,シンニュウシャヲカンチシマシタ。ホゴモードキドウ。,感应到入侵者，启动保护模块。,感應到入侵者，啟動保護模組。
CharText/Enemy/Joker/CC,Text,,어라? 당신 손목에 그게 뭐죠...?,Hmm ? Qu'est-ce que tu portes au poignet... ?,あらら、手首のそれは…？,哎呦？你手腕上带的是什么……？,哎呦？你手腕上帶的是什麼……？
CharText/Enemy/Joker/DrawJoker,Text,,짜잔!,Ta-da !,じゃじゃ～ん！,惊喜吗？,驚喜嗎？
CharText/Enemy/Joker/Talk_0,Text,,마술 하나 보고 가시죠?,Tu veux voir un tour de magie ?,手品はいかが？,想看魔术表演吗？,想看魔術表演嗎？
CharText/Enemy/Joker/Talk_1,Text,,덱에서 무작위 카드를 보여드릴테니.,Je vais te montrer quelques cartes de ton deck.,デッキからカードをランダムにお見せします。,我会给你展示牌库中的随机卡牌。,我會為你展示牌庫中的隨機卡牌。
CharText/Enemy/Joker/Talk_2,Text,,마음에 드는 카드를 생각하세요...,Maintenant... pense à une carte...,1枚選んでください。,从中选一张你喜欢的卡牌吧……,從中選一張你喜歡的卡牌吧……
CharText/Enemy/Joker/Talk_3,Text,,그럼 이제 마술 쇼를 시작하죠.,Que le spectacle de magie commence.,では、ショーの始まりです。,好了，魔术开始了。,好了，魔術開始了。
CharText/Enemy/Joker/Talk_4,Text,,"후후후, 계속 하시죠?",Ha. Continue... continue !,フフフ、続けましょうか？,哈哈，还要继续吗？,哈哈，還要繼續嗎？
CharText/Enemy/LubySp/Battlestart_0,Text,,이곳에는 무슨 볼일이지?,Qu'est-ce qui se passe ici ?,なんの用だ！,你们来这里干什么？,你們來這裡幹什麼？
CharText/Enemy/LubySp/Battlestart_1,Text,,"우리 교단이 아니라면, 너희는 죽은 목숨이다!","Si tu n'es pas avec nous, tu es mort !",教団員でないなら死あるのみ！,如果不是我们教团，你们早就没命了！,如果不是我們教團，你們早就沒命了！
CharText/Enemy/LubySp/Counter_L,Text,,어디 마음껏 공격 해봐!,Approche !,掛かってこい！,尽管放马过来吧！,儘管放馬過來吧！
CharText/Enemy/LubySp/Counter_Sp,Text,,쳐봐. 할 수 있으면.,Frappe-moi. Si tu en es capable.,やれるもんならやってみろ。,有本事就来打我呀。,有本事就來打我呀。
CharText/Enemy/LubySp/Lucy,Text,Skill/S_S2_MainBoss_1_Lucy_0_Name의 정화 스킬,정화?,Une compétence de purification ?,浄化？,净化？,淨化？
CharText/Enemy/LubySp/Lucy2,Text,,"흥, 이상한 수를 써 봤자야.",Ce n'est pas du jeu !,妙なことをしても無駄だ。,哼，耍这些小伎俩是没用的。,哼，耍這些小伎倆是沒用的。
CharText/Enemy/LubySp/Phase2,Text,,사파이어. 지금이야!,Saphir. À toi !,サファイア、今だ！,蓝魔，就是现在！,藍魔鬼，就是現在！
CharText/Enemy/LubySp/Trisha_0,Text,,"호오, 이게 누구야?",Tiens donc... Qui voilà.,ほお、これはこれは…,哟，这是谁呀？,喲，這是誰呀？
CharText/Enemy/LubySp/Trisha_1,Text,,전에 숨어들었던 그 쥐새끼잖아?,"Tu es bien le rat qui s'est introduit ici la dernière fois, pas vrai ?",前回のネズミではないか。,这不是之前藏起来的小老鼠吗？,這不是之前藏起來的小老鼠嗎？
CharText/Enemy/Popcorngirl_0,Text,,"옥수수 장전~♪
기계가 달아오르기 시작했어!",Le maïs est chargé~♪ La machine commence à chauffer !,"トウモロコシようい～♪
マシンが暖まってきたよ！","玉米上膛~♪
机器开始烧起来啦！","玉米上膛~♪
機器開始燒起來啦！"
CharText/Enemy/Popcorngirl_1,Text,,맛있는 팝콘이 완성됐어!,Le délicieux pop-corn est prêt !,美味しいポップコーンの出来上がり！,香甜可口的爆米花出炉啦！,香甜可口的爆米花出爐囉！
CharText/Enemy/Popcorngirl_2,Text,,달콤한 카라멜 팝콘이야!,Du pop-corn au caramel bien sucré !,甘いキャラメルポップコーンだよ！,这是甜甜的焦糖味爆米花！,這是甜甜的焦糖口味爆米花！
CharText/Enemy/Popcorngirl_3,Text,,화끈한 스파이시 팝콘은 어때?,Et si tu goûtais notre pop-corn bien épicé ?,辛いスパイシーポップコーンはいかが？,劲爆的香辣味爆米花，你喜欢吗？,勁爆的辣味爆米花，你喜歡嗎？
CharText/Enemy/ProgramMaster2nd/Desc_1,Text,,정말로 이길 수 있다고 생각하는거냐?,Tu crois vraiment pouvoir gagner ?,本当に勝てると思うのか？,你真的认为你能赢吗？,你真的認為你能贏嗎？
CharText/Enemy/ProgramMaster2nd/Desc_2,Text,,소용없다.,C'est inutile.,無駄だ。,没用的。,沒用的。
CharText/Enemy/ProgramMaster2nd/Desc_3,Text,,생명력은 그저 숫자에 불과할 뿐이다.,Les points de vie ne sont qu'un chiffre.,生命力は数字に過ぎない。,生命，只不过是数字罢了。,生命，只不過是數字罷了。
CharText/Enemy/ProgramMaster2nd/Extinction,Text,,무의미한 저항은 끝이다.,Ta résistance futile prend fin ici.,無意味な抵抗は終わりだ。,停止无意义的抵抗吧。,停止無意義的抵抗吧。
CharText/Enemy/Reaper/Battlestart,Text,,아... 신선한 영혼들...,Ah... Des âmes toutes fraîches...,ア…シンセンナタマシイ…,啊……新鲜的灵魂……,啊……新鮮的靈魂……
CharText/Enemy/Reaper/FirstHit_0,Text,,한 걸음만 더…,Encore un pas...,モウチョット…,还差一步……,還差一步……
CharText/Enemy/Reaper/HitTwice_0,Text,,도망칠 곳은 없다!,Tu n'as nulle part où fuir !,ニゲルバショハ…ナイ！,你已经无路可逃了！,你已經無路可逃了！
CharText/Enemy/Reaper/HitTwice_1,Text,,어서 가자...!,Allons-y... !,コッチダ…！,快上……！,快上……！
CharText/Enemy/Shiranui/Text1,Text,,함께 이곳에서 영원히 놀아보자꾸나!,Jouons ici... pour l'éternité !,ここで永遠に妾と楽しもうぞ！,永远在这里陪我一起玩吧！,永遠在這裡陪我一起玩吧！
CharText/Enemy/Shiranui/Text2,Text,,어떤 춤을 보여줄지 기대되는구나!,Je me demande quelle danse tu vas m'offrir !,どんな舞を見せてくれるんだい？,好期待你们的舞姿！,好期待你們的舞姿！
CharText/Enemy/Tank,Text,,<뭔가 장전되는 소리>,<Bruit de rechargement au loin>,<装填音>,<炮弹上膛>,<砲彈上膛>
CharText/Enemy/Witch/Ally/Azar,Text,,얼마든지!,"Oui, quand tu veux !",いくらでも来い！,尽管来吧！,儘管來吧！
CharText/Enemy/Witch/Ally/Azar_Low,Text,,이제야 더 재미있어지겠어....,Ça devient vraiment amusant...,面白くなってきたな…,这下变得更有趣了……,這下變得更有趣了……
CharText/Enemy/Witch/Ally/Control,Text,,쓸데없는 생각 하지 말라고.,N'essaie rien de stupide.,妙な気は起こさないことだ。,别想那些没用的。,別想那些沒用的。
CharText/Enemy/Witch/Ally/Control_Low,Text,,네 녀석... 여차하면 나를 희생시킬 생각을 하는것 같은데!,Tu... oses me sacrifier !,貴様ら…今度こそ、私を殺す気だな！,你这个家伙……一有点什么事就想把我牺牲掉！,你這個傢伙……一有點什麼事就想把我犧牲掉！
CharText/Enemy/Witch/Ally/Hein,Text,,니 맘대로 해라.,Fais comme bon te semble.,好きにしろ。,随便你。,隨便你。
CharText/Enemy/Witch/Ally/Hein_Low,Text,,너 마녀랑 한패냐?!,Tu t'es allié à la Sorcière ?!,てめぇ…あの魔女とグルか？,你跟魔女是一伙吧？！,你跟魔女是一夥？ ！
CharText/Enemy/Witch/Ally/Huz,Text,,으으...별로인데...,Euh... Je vais passer...,うう…イヤだな…,呜呜……我感觉不太好……,嗚嗚嗚……我感覺不太好……
CharText/Enemy/Witch/Ally/Huz_Low,Text,,나 싫어해...?,Tu me détestes... ?,あたしのこと…嫌い…？,你讨厌我吗……？,你討厭我嗎……？
CharText/Enemy/Witch/Ally/Ilya,Text,,어차피 나한테 쓸 거지...? 다 알고 있어.,"C'est moi, pas vrai...? Je le savais déjà.",俺に使うんでしょ。知ってるって。,反正你一定会用在我身上的……我都知道。,反正你一定會用在我身上的……我都知道。
CharText/Enemy/Witch/Ally/Joey,Text,,나한테 저주를 건다고? 제비뽑기로 하는건 어때?,Tu me maudis ? On tire ça au sort ?,俺に呪い？くじ引きで決めようぜ。,你要诅咒我？要不然我们抽签吧？,你要詛咒我？要不然我們抽籤吧？
CharText/Enemy/Witch/Ally/Joey_Low,Text,,"꼬맹이, 날 죽일 셈이야?! 당장 그만둬!","Hé, gamin ! Tu essaies de me TUER ?! Arrête ça tout de suite !",おい、殺す気か！？やめろ！,小屁孩，你打算弄死我吗？！快住手！,小屁孩，你打算弄死我嗎？ ！快住手！
CharText/Enemy/Witch/Ally/Leryn,Text,,굳이 감수해야 한다면...,J'imagine que c'est un risque nécessaire...,必要なら…,如果一定要我承受……,如果一定要我承受……
CharText/Enemy/Witch/Ally/Leryn_Low,Text,,다시 살려줄 수 있죠...?,Promets-moi de me ressusciter plus tard... ?,生き返れますよね…？,你可以再把我救回来吗……？,你可以再把我救回來嗎……？
CharText/Enemy/Witch/Ally/Lian,Text,,나에게 저주를 사용해! 내가 고통을 버티겠다!,Donne-moi cette malédiction ! J'endurerai la douleur !,私を呪え！耐えてみせる！,把诅咒上给我吧！让我来承受痛苦！,把詛咒上給我吧！讓我來承受痛苦吧！
CharText/Enemy/Witch/Ally/Lian_Low,Text,,죽을때 까지 버텨보겠다...,Je... tiendrai... jusqu'à mon dernier souffle...,死ぬまで耐えてみせる…,我会战斗到最后一刻……,我會戰鬥到最後一刻……
CharText/Enemy/Witch/Ally/Mement,Text,,감당할 수 있겠습니까?,Tu es prêt à m'avoir comme ennemie ?,あなたの手に負えますか？,你能承受得了吗？,你能承受得了嗎？
CharText/Enemy/Witch/Ally/Mement_Low,Text,,당신을 죽이고 도망치는 게 나을지도...,Ce serait peut-être plus simple de te tuer et de m'enfuir...,あなたを殺して逃げた方がいいかも…,不如把你杀了跑路……,不如把你殺了跑路……
CharText/Enemy/Witch/Ally/MissChain,Text,,걱정마! 난 안죽어!,Ne t'inquiète pas ! Je ne vais nulle part !,心配ないよ！死なないから！,放心！我不会死的！,放心！我不會死的！
