Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Record/Post/DC1_CommentDesc0,Text,,걍 다같이 죽자 ㅋㅋㅋ 세계 개같이 멸망 ㅋㅋㅋㅋㅋㅋㅋㅋ,"Le monde est fini, alors autant mourir tous ensemble LOOOOOL",もうだめだぁ…おしまいだぁ…,都别活了！！毁灭吧，赶紧的，累了！！！,都別活了！ ！毀滅吧，趕緊的，累了！ ！ ！,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc1,Text,,깨어있기 운동인지 뭔지 사람들이 하던데 그건 뭐임?,J'ai vu des gens rejoindre un mouvement appelé « Stay Awake ». Quelqu'un sait de quoi il s'agit ?,睡眠拒否運動って勧誘されたけどあれなに？,听说最近有人在搞什么反冷冻运动，那是干嘛的?,聽說最近有人在搞什麼反冷凍運動，那是幹嘛的?,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc2,Text,,<space=50>냉동수면 안하고 지하철에서 모여서 산다던가 그러더라,<space=50>J'ai entendu dire que ce sont des gens qui refusent la cryogénisation et vivent dans une station de métro.,<space=50>冷凍睡眠に入らずに地下鉄の中に引きこもるって。,<space=50>据说是不愿意去冷冻睡眠的人，准备聚在地铁生活,<space=50>據說是不願意冷凍睡眠的人，準備聚在地鐵生活,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc3,Text,,<space=50>그게 현실적으로 가능함?,<space=50>C'est vraiment possible de survivre au froid comme ça ?,<space=50>え？そんなこともできるの？,<space=50>这可行嘛？,<space=50>這可行嘛？,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc4,Text,,<space=50>ㅁㄹ,<space=50>Aucune idée..,<space=50>知らん,<space=50>不知道唉,<space=50>不知道唉,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc5,Text,,피터놈 진짜 찢어 죽이고 싶네,J'ai tellement envie de tuer Peter.,ピーター氏ね,皮特这个XX我想弄死他,皮特這個XX我想弄死他,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc6,Text,,<space=50>진짜 누가 정의구현좀 안해주냐?,<space=50>Des volontaires assez courageux pour lui faire payer ?,<space=50>マジで誰か正義執行頼むぞ？,<space=50>就没有人伸张正义吗？,<space=50>就沒有人伸張正義嗎？,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter0,Text,,제니르,Jennier,ジェニル,姬麟黑,姬麟黑,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter1,Text,,빅터v,VictorV,ヴィクターv,维克多v,維克多v,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter2,Text,,<sprite name=Icon>나는짱,<sprite name=Icon>ImTheBest,<sprite name=Icon>俺様最強,<sprite name=Icon>我做我的王,<sprite name=Icon>我做我的王,,,,,,,,,,,,,,,,,,
